"State","Agriculture","Aviation","Boating","Industrial.Commercial","Construction","Federal.onhwy","SCM.onhwy","SCM.offhwy"
"Massachusetts",56.9663730721818,2781.6,27456.965807176,1949.69677907882,1515.94504076062,3780.91177484903,32091.212472584,1674.79391691937
"Michigan",2002.34663462985,3001.2,167250.778405193,11313.5639588386,10878.271861167,5296.92096291595,44917.4411266702,2339.20393032107
"Minnesota",5645.52134383039,3074.4,83830.1839089359,6168.26907190352,9082.68012604098,2969.60330194395,29844.8632800855,1564.16984987188
"Mississippi",5425.07677596602,1720.2,31884.064138004,2213.72950193428,2205.326893722,2288.49037081806,8927.02262377795,468.854256316724
"Missouri",5041.62369215813,2781.6,64440.1366283014,5454.67507591687,3946.16315110796,4222.23300746069,25196.4803810041,1323.33898643522
"Montana",4562.16269464648,2013,5549.94125384993,5679.41863031029,2940.14755554018,2232.58089663956,870.576846196847,45.5305369420007
"Nebraska",6433.95782556827,1537.2,9142.11879479619,6571.02686780269,5458.59094911047,1376.67891034024,21274.2752683273,1110.27362511472
"Nevada",630.729982804726,793.359415403151,6380.6914586639,6348.81314402143,3037.45786101694,2696.37574846914,12767.6997677695,666.327765658005
"New Hampshire",27.3661248962704,732,25983.9625868675,801.677651710634,361.673653025615,784.636125069206,9200.12924278946,480.141425128743
"New Jersey",502.917628849252,1793.4,33236.6373599195,2688.23735328141,1264.27702670826,5245.70921594235,30917.5867068954,1613.5440873969
"New Mexico",388.812401633924,1683.6,5523.05110469062,9644.93308027451,7032.5112076274,4853.41369080889,9183.96638876627,479.297909178037
"New York",2031.27594574163,2964.6,93818.8802305748,6776.56879407554,2956.61468500217,10137.6183850953,31602.6036944671,1649.29413220283
"North Carolina",2314.8176784261,3769.8,76734.4238414948,6714.84098614859,5619.5299474285,5383.45143353938,90898.2995761496,3896.04767189462
"North Dakota",10290.6861646181,1573.8,8377.81138086286,4791.97115406502,3292.67979679409,1233.29498315716,9388.02486616718,490.986883982436
"Ohio",2689.32338796409,3220.8,85583.1021679134,6528.44723226521,7212.16676983086,5913.63947761236,62945.2817303939,3298.96340788636
"Oklahoma",6564.90380816772,2342.4,50119.1407566899,12513.4347675544,4934.11838191947,2910.65144575374,10989.7272282582,573.537952989905
"Oregon",1048.74695153891,4062.6,14380.5760507883,5383.93544935057,2348.98227696268,3473.48367301527,45615.07916178,2385.63551966797
"Pennsylvania",3095.85471928797,2928,46714.6031325452,6186.01241132765,4446.28938374425,6861.55711485143,65410.5153848219,3175.53409071747
"Rhode Island",5.36396876413386,346.439721776092,7676.66483559557,383.550397918182,205.434970751331,792.022501397275,9258.54402849599,452.536345424705
"South Carolina",435.425475115107,2122.8,118764.308171393,4978.24444050907,3173.59625930506,3161.11203864909,129625.107666258,6980.54905864239
"South Dakota",6002.15656466666,1024.8,6954.96215615027,3034.69724916349,1142.29917990937,1096.84657497846,12798.6697982912,673.614199910066
"Tennessee",1298.95351521521,2964.6,68679.910536948,13326.2062407456,10023.419350725,4605.56391689234,101143.809376553,4977.06920549819
"Texas",7804.89760712658,16433.4,139247.578302629,24008.8952740154,12489.7955676725,17866.2738651546,184173.378369477,9632.13396292014
"Utah",1235.48118852875,2232.6,17018.3056764297,4306.17703168291,2119.82449975764,2776.91727832614,17272.2434002188,905.238603800146
"Vermont",168.785438226581,275.760278223907,7003.02576454106,338.789556974894,284.851506739748,444.292581832473,7700.51471707753,402.731328463383
"Virginia",1133.44033255043,2854.8,56949.2215109179,2823.73812216758,2013.97285772908,10060.2546094226,85587.0534467101,4466.66440546803
"Washington",4489.59393458657,3513.6,26568.6428253602,5724.60005767627,3490.49041799319,6710.82925927591,123669.666465253,5435.31992711886
"West Virginia",412.862125269034,366,8614.74303882453,3815.04264170201,2157.08357363327,1581.02738191557,21896.6858721106,1142.75633339298
"Wisconsin",2738.38933777174,2415.6,98123.9991602933,8733.21492181729,6322.28362648735,2682.18714143175,49664.6168704379,2602.92351099538
"Wyoming",2043.80173342185,768.6,4872.36572477926,3221.37455852436,2429.65484450732,1281.51299670305,6863.45667207556,363.51676382584
