"","PADD","State","ABBREV","FIPS","AGREGION","Year","ppg"
"116","West Coast (PADD 5)","Nevada","NV",32,"West",2017,2.948
"117","New England (PADD 1A)","New Hampshire","NH",33,"Atlantic",2012,3.785
"118","New England (PADD 1A)","New Hampshire","NH",33,"Atlantic",2015,2.507
"119","New England (PADD 1A)","New Hampshire","NH",33,"Atlantic",2016,2.255
"120","New England (PADD 1A)","New Hampshire","NH",33,"Atlantic",2017,2.532
"121","Central Atlantic (PADD 1B)","New Jersey","NJ",34,"Atlantic",2012,3.763
"122","Central Atlantic (PADD 1B)","New Jersey","NJ",34,"Atlantic",2015,2.559
"123","Central Atlantic (PADD 1B)","New Jersey","NJ",34,"Atlantic",2016,2.312
"124","Central Atlantic (PADD 1B)","New Jersey","NJ",34,"Atlantic",2017,2.639
"125","Gulf Coast (PADD 3)","New Mexico","NM",35,"West",2012,3.479
"126","Gulf Coast (PADD 3)","New Mexico","NM",35,"West",2015,2.256
"127","Gulf Coast (PADD 3)","New Mexico","NM",35,"West",2016,2.024
"128","Gulf Coast (PADD 3)","New Mexico","NM",35,"West",2017,2.295
"129","Central Atlantic (PADD 1B)","New York","NY",36,"Atlantic",2012,3.763
"130","Central Atlantic (PADD 1B)","New York","NY",36,"Atlantic",2015,2.559
"131","Central Atlantic (PADD 1B)","New York","NY",36,"Atlantic",2016,2.312
"132","Central Atlantic (PADD 1B)","New York","NY",36,"Atlantic",2017,2.639
"133","Lower Atlantic (PADD 1C)","North Carolina","NC",37,"Atlantic",2012,3.618
"134","Lower Atlantic (PADD 1C)","North Carolina","NC",37,"Atlantic",2015,2.42
"135","Lower Atlantic (PADD 1C)","North Carolina","NC",37,"Atlantic",2016,2.206
"136","Lower Atlantic (PADD 1C)","North Carolina","NC",37,"Atlantic",2017,2.455
"137","Midwest (PADD 2)","North Dakota","ND",38,"Plains",2012,3.605
"138","Midwest (PADD 2)","North Dakota","ND",38,"Plains",2015,2.411
"139","Midwest (PADD 2)","North Dakota","ND",38,"Plains",2016,2.143
"140","Midwest (PADD 2)","North Dakota","ND",38,"Plains",2017,2.405
"141","Midwest (PADD 2)","Ohio","OH",39,"Midwest",2012,3.611
"142","Midwest (PADD 2)","Ohio","OH",39,"Midwest",2015,2.408
"143","Midwest (PADD 2)","Ohio","OH",39,"Midwest",2016,2.185
"144","Midwest (PADD 2)","Ohio","OH",39,"Midwest",2017,2.384
"145","Midwest (PADD 2)","Oklahoma","OK",40,"Plains",2012,3.605
"146","Midwest (PADD 2)","Oklahoma","OK",40,"Plains",2015,2.411
"147","Midwest (PADD 2)","Oklahoma","OK",40,"Plains",2016,2.143
"148","Midwest (PADD 2)","Oklahoma","OK",40,"Plains",2017,2.405
"149","West Coast (PADD 5)","Oregon","OR",41,"West",2012,3.805
"150","West Coast (PADD 5)","Oregon","OR",41,"West",2015,3.042
"151","West Coast (PADD 5)","Oregon","OR",41,"West",2016,2.646
"152","West Coast (PADD 5)","Oregon","OR",41,"West",2017,2.948
"153","Central Atlantic (PADD 1B)","Pennsylvania","PA",42,"Atlantic",2012,3.763
"154","Central Atlantic (PADD 1B)","Pennsylvania","PA",42,"Atlantic",2015,2.559
"155","Central Atlantic (PADD 1B)","Pennsylvania","PA",42,"Atlantic",2016,2.312
"156","Central Atlantic (PADD 1B)","Pennsylvania","PA",42,"Atlantic",2017,2.639
"157","New England (PADD 1A)","Rhode Island","RI",44,"Atlantic",2012,3.785
"158","New England (PADD 1A)","Rhode Island","RI",44,"Atlantic",2015,2.507
"159","New England (PADD 1A)","Rhode Island","RI",44,"Atlantic",2016,2.255
"160","New England (PADD 1A)","Rhode Island","RI",44,"Atlantic",2017,2.532
"161","Lower Atlantic (PADD 1C)","South Carolina","SC",45,"South",2012,3.618
"162","Lower Atlantic (PADD 1C)","South Carolina","SC",45,"South",2015,2.42
"163","Lower Atlantic (PADD 1C)","South Carolina","SC",45,"South",2016,2.206
"164","Lower Atlantic (PADD 1C)","South Carolina","SC",45,"South",2017,2.455
"165","Midwest (PADD 2)","South Dakota","SD",46,"Plains",2012,3.605
"166","Midwest (PADD 2)","South Dakota","SD",46,"Plains",2015,2.411
"167","Midwest (PADD 2)","South Dakota","SD",46,"Plains",2016,2.143
"168","Midwest (PADD 2)","South Dakota","SD",46,"Plains",2017,2.405
"169","Midwest (PADD 2)","Tennessee","TN",47,"Atlantic",2012,3.605
"170","Midwest (PADD 2)","Tennessee","TN",47,"Atlantic",2015,2.411
